,id,full_name,first_name,last_name,is_active
649,76322,Tommy Byrnes,Tommy,Byrnes,False
650,76323,Mike Bytzura,Mike,Bytzura,False
651,2560,Zarko Cabarkapa,Zarko,Cabarkapa,False
652,76324,Barney Cable,Barney,Cable,False
653,203998,Bruno Caboclo,Bruno,Caboclo,False
654,1629719,Devontae Cacok,Devontae,Cacok,False
655,679,Jason Caffey,Jason,Caffey,False
656,262,Michael Cage,Michael,Cage,False
657,1631288,Jamal Cain,Jamal,Cain,True
658,76326,Gerry Calabrese,Gerry,Calabrese,False
659,201979,Nick Calathes,Nick,Calathes,False
660,101181,Jose Calderon,Jose,Calderon,False
661,154,Adrian Caldwell,Adrian,Caldwell,False
662,76328,Jim Caldwell,Jim,Caldwell,False
663,76329,Joe Caldwell,Joe,Caldwell,False
664,203484,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,True
665,76331,Bill Calhoun,Bill,Calhoun,False
666,76330,Corky Calhoun,Corky,Calhoun,False
667,76332,Demetrius Calip,Demetrius,Calip,False
668,76333,Tom Callahan,Tom,Callahan,False
669,76334,Rick Calloway,Rick,Calloway,False
670,76335,Ernie Calverley,Ernie,Calverley,False
671,76336,Mack Calvin,Mack,Calvin,False
672,1641739,Toumani Camara,Toumani,Camara,True
673,76337,Dexter Cambridge,Dexter,Cambridge,False
674,948,Marcus Camby,Marcus,Camby,False
675,1630267,Facundo Campazzo,Facundo,Campazzo,False
676,922,Elden Campbell,Elden,Campbell,False
677,76338,Tony Campbell,Tony,Campbell,False
678,203477,Isaiah Canaan,Isaiah,Canaan,False
679,1628427,Vlatko Cancar,Vlatko,Cancar,False
680,1629962,Devin Cannady,Devin,Cannady,False
681,76339,Larry Cannon,Larry,Cannon,False
682,203991,Clint Capela,Clint,Capela,True
683,202382,Derrick Caracter,Derrick,Caracter,False
684,2073,Brian Cardinal,Brian,Cardinal,False
685,1630176,Vernon Carey Jr.,Vernon,Carey Jr.,False
686,76340,Howie Carl,Howie,Carl,False
687,76341,Chet Carlisle,Chet,Carlisle,False
688,2367,Geno Carlisle,Geno,Carlisle,False
689,76342,Rick Carlisle,Rick,Carlisle,False
690,76343,Al Carlson,Al,Carlson,False
691,1642382,Branden Carlson,Branden,Carlson,False
692,76344,Don Carlson,Don,Carlson,False
693,76345,Bob Carney,Bob,Carney,False
694,200760,Rodney Carney,Rodney,Carney,False
695,76346,Bob Carpenter,Bob,Carpenter,False
696,156,Antoine Carr,Antoine,Carr,False
697,76348,Austin Carr,Austin,Carr,False
698,713,Chris Carr,Chris,Carr,False
699,1757,Cory Carr,Cory,Carr,False
